sample,temperature_raw,humidity_raw,pressure_raw,temperature_true,humidity_true,pressure_true
1,25.48,49.23,1013.42,25.0,50.0,1013.25
2,24.67,51.87,1012.89,25.0,50.0,1013.25
3,25.89,48.45,1013.78,25.0,50.0,1013.25
4,24.32,52.34,1012.67,25.0,50.0,1013.25
5,25.71,49.78,1013.91,25.0,50.0,1013.25
6,24.56,51.23,1012.45,25.0,50.0,1013.25
7,25.93,48.67,1013.56,25.0,50.0,1013.25
8,24.78,52.89,1012.78,25.0,50.0,1013.25
9,25.34,49.12,1013.34,25.0,50.0,1013.25
10,24.89,51.56,1012.89,25.0,50.0,1013.25
11,25.67,48.34,1013.67,25.0,50.0,1013.25
12,24.45,52.12,1012.56,25.0,50.0,1013.25
13,25.78,49.89,1013.89,25.0,50.0,1013.25
14,24.23,51.34,1012.34,25.0,50.0,1013.25
15,25.56,48.78,1013.45,25.0,50.0,1013.25
16,24.91,52.67,1012.91,25.0,50.0,1013.25
17,25.34,49.23,1013.23,25.0,50.0,1013.25
18,24.67,51.89,1012.67,25.0,50.0,1013.25
19,25.89,48.56,1013.78,25.0,50.0,1013.25
20,24.45,52.34,1012.45,25.0,50.0,1013.25
21,25.23,49.67,1013.56,25.2,50.0,1013.25
22,24.78,51.12,1012.89,25.4,50.0,1013.25
23,25.56,48.89,1013.34,25.6,50.0,1013.25
24,25.12,52.45,1012.67,25.8,50.0,1013.25
25,25.89,49.34,1013.89,26.0,50.0,1013.25
26,25.45,51.78,1012.45,26.2,50.0,1013.25
27,26.23,48.67,1013.67,26.4,50.0,1013.25
28,25.78,52.12,1012.78,26.6,50.0,1013.25
29,26.56,49.89,1013.23,26.8,50.0,1013.25
30,26.12,51.45,1012.56,27.0,50.0,1013.25
31,26.89,48.34,1013.78,27.0,50.0,1013.25
32,26.45,52.67,1012.34,27.0,50.0,1013.25
33,27.23,49.12,1013.45,27.0,50.0,1013.25
34,26.78,51.89,1012.91,27.0,50.0,1013.25
35,27.56,48.78,1013.12,27.0,50.0,1013.25
36,26.34,52.34,1012.67,27.0,50.0,1013.25
37,27.12,49.56,1013.56,27.0,50.0,1013.25
38,26.89,51.23,1012.45,27.0,50.0,1013.25
39,27.45,48.45,1013.89,27.0,50.0,1013.25
40,26.67,52.12,1012.78,27.0,50.0,1013.25
41,27.23,49.89,1013.34,27.0,50.0,1013.25
42,26.78,51.67,1012.56,27.0,50.0,1013.25
43,27.56,48.23,1013.67,27.0,50.0,1013.25
44,26.45,52.45,1012.34,27.0,50.0,1013.25
45,27.34,49.34,1013.45,27.0,50.0,1013.25
46,26.91,51.78,1012.89,27.0,50.0,1013.25
47,27.67,48.67,1013.23,27.0,50.0,1013.25
48,26.56,52.23,1012.67,27.0,50.0,1013.25
49,27.12,49.78,1013.78,27.0,50.0,1013.25
50,26.89,51.45,1012.45,27.0,50.0,1013.25
51,27.45,48.89,1013.56,27.0,50.0,1013.25
52,26.34,52.67,1012.78,27.0,50.0,1013.25
53,27.23,49.12,1013.34,27.0,50.0,1013.25
54,26.78,51.34,1012.56,27.0,50.0,1013.25
55,27.56,48.56,1013.89,27.0,50.0,1013.25
56,26.67,52.89,1012.34,27.0,50.0,1013.25
57,27.34,49.45,1013.45,27.0,50.0,1013.25
58,26.91,51.12,1012.91,27.0,50.0,1013.25
59,27.12,48.78,1013.12,27.0,50.0,1013.25
60,26.45,52.34,1012.67,27.0,50.0,1013.25
61,27.67,49.67,1013.67,27.0,50.0,1013.25
62,26.56,51.89,1012.45,27.0,50.0,1013.25
63,27.23,48.34,1013.34,27.0,50.0,1013.25
64,26.89,52.56,1012.78,27.0,50.0,1013.25
65,27.45,49.23,1013.78,27.0,50.0,1013.25
66,26.34,51.67,1012.56,27.0,50.0,1013.25
67,27.78,48.89,1013.23,27.0,50.0,1013.25
68,26.67,52.12,1012.34,27.0,50.0,1013.25
69,27.12,49.56,1013.56,27.0,50.0,1013.25
70,26.91,51.34,1012.89,27.0,50.0,1013.25
71,27.56,48.67,1013.45,27.0,50.0,1013.25
72,26.45,52.78,1012.67,27.0,50.0,1013.25
73,27.34,49.12,1013.12,27.0,50.0,1013.25
74,26.78,51.89,1012.45,27.0,50.0,1013.25
75,27.23,48.45,1013.78,27.0,50.0,1013.25
76,26.56,52.34,1012.78,27.0,50.0,1013.25
77,27.89,49.78,1013.34,27.0,50.0,1013.25
78,26.34,51.56,1012.56,27.0,50.0,1013.25
79,27.45,48.23,1013.67,27.0,50.0,1013.25
80,26.91,52.67,1012.34,27.0,50.0,1013.25
81,27.12,49.34,1013.23,27.0,50.0,1013.25
82,26.67,51.12,1012.91,27.0,50.0,1013.25
83,27.78,48.78,1013.56,27.0,50.0,1013.25
84,26.45,52.45,1012.67,27.0,50.0,1013.25
85,27.34,49.67,1013.89,27.0,50.0,1013.25
86,26.89,51.78,1012.45,27.0,50.0,1013.25
87,27.56,48.56,1013.34,27.0,50.0,1013.25
88,26.23,52.23,1012.78,27.0,50.0,1013.25
89,27.12,49.12,1013.12,27.0,50.0,1013.25
90,26.78,51.45,1012.56,27.0,50.0,1013.25
91,27.45,48.89,1013.67,27.0,50.0,1013.25
92,26.56,52.56,1012.34,27.0,50.0,1013.25
93,27.23,49.45,1013.45,27.0,50.0,1013.25
94,26.91,51.23,1012.91,27.0,50.0,1013.25
